dataset,n_keys,index,config,size_in_bytes,rep,n_samples,build_time,eval_time,lookup_time,eval_accu,lookup_accu
books_200M_uint64,200000000,ALEX,"sparcity=8",576049120,1,20000000,9375016468,3269217258,6864286991,2000207292448960,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=8",576049120,2,20000000,9376166793,3275308020,6875391225,2000207292448960,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=8192",580352,0,20000000,4432191,1141403986,14246132622,2000289132559825,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=8192",580352,1,20000000,4458900,1147873549,14244402928,2000289132559825,2000207222435828
books_200M_uint64,200000000,ALEX,"sparcity=8192",580352,2,20000000,4460384,1142744369,14243414317,2000289132559825,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=1",5279307328,0,20000000,15802410551,12360261336,12846776990,4000414464871656,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=1",5279307328,1,20000000,15286704051,12357662285,12844911034,4000414464871656,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=1",5279307328,2,20000000,15285541057,12358802886,12840296625,4000414464871656,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=1024",3272624,0,20000000,133872212,2059478622,11904110892,4000414464583074,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=1024",3272624,1,20000000,132494475,2053729507,11905101777,4000414464583074,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=1024",3272624,2,20000000,132387851,2053365661,11907894673,4000414464583074,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=128",34096080,0,20000000,346367565,4175871442,9570697985,4000414464817634,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=128",34096080,1,20000000,345706197,4133926684,9568406897,4000414464817634,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=128",34096080,2,20000000,345256927,4137182018,9568853189,4000414464817634,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=16",261696184,0,20000000,1230054771,6142837232,9177067255,4000414464889536,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=16",261696184,1,20000000,1232840303,6147038425,9177966333,4000414464889536,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=16",261696184,2,20000000,1229472745,6149870673,9173405797,4000414464889536,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=16384",188576,0,20000000,98262237,2453420326,16093916859,4000414476703138,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=16384",188576,1,20000000,97768005,2449737702,16093570229,4000414476703138,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=16384",188576,2,20000000,97791978,2449796454,16093650784,4000414476703138,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=2",2573812464,0,20000000,7089847752,10612222738,11878310428,4000414464872200,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=2",2573812464,1,20000000,7076932568,10576287389,11874993190,4000414464872200,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=2",2573812464,2,20000000,7083552872,10582636374,11871023618,4000414464872200,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=2048",2336192,0,20000000,116263902,2011770073,13160488716,4000414466049442,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=2048",2336192,1,20000000,115934194,2012089425,13163629360,4000414466049442,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=2048",2336192,2,20000000,115903513,2010517190,13156427386,4000414466049442,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=256",22360384,0,20000000,236427112,3268249180,10026737275,4000414466401738,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=256",22360384,1,20000000,234504834,3225021334,10009946246,4000414466401738,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=256",22360384,2,20000000,234487105,3223843780,10013146102,4000414466401738,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=32",156030064,0,20000000,754396492,5873722150,9582349141,4000414464774580,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=32",156030064,1,20000000,751899058,5890719727,9581208028,4000414464774580,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=32",156030064,2,20000000,752409688,5882597196,9581935489,4000414464774580,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=4",931492544,0,20000000,3478531539,7695229509,9791387192,4000414464873152,2000207222435828
books_200M_uint64,200000000,ART,"sparcity=4",931492544,1,20000000,3621162877,7704324142,9796420477,4000414464873152,2000207222435828
