dataset,layer1,layer2,n_models,bounds,size_in_bytes,mean_interval,median_interval,stdev_interval,min_interval,max_interval
books_200M_uint64,radix,linear_spline,128,gind,2088,89915.4,89926,610.549,16557,89926
books_200M_uint64,radix,linear_spline,128,labs,3096,45511,39889,43318.3,86,146805
books_200M_uint64,radix,linear_spline,128,lind,4120,23236,20070,21461.5,86,73624
books_200M_uint64,radix,linear_regression,128,gabs,2080,115350,115367,792.092,57684,115367
books_200M_uint64,radix,linear_regression,128,gind,2088,83997,84007,598.669,26324,84007
books_200M_uint64,radix,linear_regression,128,labs,3096,31580.6,27693,29957.6,153,115367
books_200M_uint64,radix,linear_regression,128,lind,4120,24659.2,22046,22727,153,84007
books_200M_uint64,linear_spline,linear_spline,256,gabs,4136,24456.3,24457,77.8778,12229,24457
books_200M_uint64,linear_spline,linear_spline,256,gind,4144,19399.5,19400,59.3245,7172,19400
books_200M_uint64,linear_spline,linear_spline,256,labs,6176,5776.59,4599,4836.55,453,24457
books_200M_uint64,linear_spline,linear_spline,256,lind,8224,3571.6,3434,2568.21,247,12760
books_200M_uint64,linear_spline,linear_regression,256,gabs,4136,20450.5,20451,59.6099,10226,20451
books_200M_uint64,linear_spline,linear_regression,256,gind,4144,16053.7,16054,45.8167,6076,16054
books_200M_uint64,linear_spline,linear_regression,256,labs,6176,4150.96,3483,3440.36,295,20451
books_200M_uint64,linear_spline,linear_regression,256,lind,8224,3587.97,3220,2748.16,295,14834
books_200M_uint64,cubic_spline,linear_spline,256,gabs,4152,251360,251405,1906.61,125703,251405
books_200M_uint64,cubic_spline,linear_spline,256,gind,4160,132944,132949,559.097,7247,132949
books_200M_uint64,cubic_spline,linear_spline,256,labs,6192,9154.46,3803,27142.2,288,251405
books_200M_uint64,cubic_spline,linear_spline,256,lind,8240,5264.29,2846,13580,288,126331
books_200M_uint64,cubic_spline,linear_regression,256,gabs,4152,125591,125605,797.161,62803,125605
books_200M_uint64,cubic_spline,linear_regression,256,gind,4160,117287,117299,701.512,54497,117299
books_200M_uint64,cubic_spline,linear_regression,256,labs,6192,5983.17,3009,14882.2,303,125605
books_200M_uint64,cubic_spline,linear_regression,256,lind,8240,5236.66,2720,13092,284,117299
books_200M_uint64,linear_regression,linear_spline,256,gabs,4136,9.51213e+06,9586163,478275,4793082,9586163
books_200M_uint64,linear_regression,linear_spline,256,gind,4144,4.78233e+06,4798925,224557,5844,4798925
books_200M_uint64,linear_regression,linear_spline,256,labs,6176,644690,3963,2.36989e+06,494,9586163
books_200M_uint64,linear_regression,linear_spline,256,lind,8224,314642,2856,1.16945e+06,245,4793326
books_200M_uint64,linear_regression,linear_regression,256,gabs,4136,4.96041e+06,4993971,256557,2496986,4993971
books_200M_uint64,linear_regression,linear_regression,256,gind,4144,4.17365e+06,4200478,207844,1703493,4200478
books_200M_uint64,linear_regression,linear_regression,256,labs,6176,327294,3061,1.20999e+06,341,4993971
books_200M_uint64,linear_regression,linear_regression,256,lind,8224,279321,2741,1.02717e+06,341,4200478
books_200M_uint64,radix,linear_spline,256,gabs,4128,74422.7,74429,394.09,37215,74429
books_200M_uint64,radix,linear_spline,256,gind,4136,45546,45549,262.667,8368,45549
books_200M_uint64,radix,linear_spline,256,labs,6168,14150,10771,13642,86,74429
books_200M_uint64,radix,linear_spline,256,lind,8216,7773.58,6730,6757.36,86,37483
books_200M_uint64,radix,linear_regression,256,gabs,4128,50863.7,50867,239.93,25434,50867
books_200M_uint64,radix,linear_regression,256,gind,4136,38793.9,38796,179.926,13363,38796
books_200M_uint64,radix,linear_regression,256,labs,6168,9694.58,7681,9032.67,153,50867
books_200M_uint64,radix,linear_regression,256,lind,8216,8114.73,7041,7242.13,153,38796
books_200M_uint64,linear_spline,linear_spline,512,gabs,8232,12954.8,12955,30.5881,6478,12955
books_200M_uint64,linear_spline,linear_spline,512,gind,8240,10418.9,10419,23.5374,3942,10419
books_200M_uint64,linear_spline,linear_spline,512,labs,12320,3169.64,2769,2357.13,247,12955
books_200M_uint64,linear_spline,linear_spline,512,lind,16416,2101.64,1997,1374.15,130,7068
books_200M_uint64,linear_spline,linear_regression,512,gabs,8232,8714.9,8715,17.3612,4358,8715
books_200M_uint64,linear_spline,linear_regression,512,gind,8240,7678.92,7679,14.9781,3322,7679
books_200M_uint64,linear_spline,linear_regression,512,labs,12320,2290.06,2079,1609.88,141,8715
books_200M_uint64,linear_spline,linear_regression,512,lind,16416,2051.12,1938,1394.41,132,7454
books_200M_uint64,cubic_spline,linear_spline,512,gabs,8248,232251,232289,1695.31,116145,232289
books_200M_uint64,cubic_spline,linear_spline,512,gind,8256,155908,155916,598.105,39772,155916
books_200M_uint64,cubic_spline,linear_spline,512,labs,12336,5040.69,2429,19623.8,251,232289
books_200M_uint64,cubic_spline,linear_spline,512,lind,16432,3306.02,1824,13020.5,240,155916
books_200M_uint64,cubic_spline,linear_regression,512,gabs,8248,125617,125631,797.078,62816,125631
books_200M_uint64,cubic_spline,linear_regression,512,gind,8256,116304,116316,691.022,53501,116316
books_200M_uint64,cubic_spline,linear_regression,512,labs,12336,3351.51,1839,10787,247,125631
books_200M_uint64,cubic_spline,linear_regression,512,lind,16432,2981.85,1732,9866.14,244,116316
books_200M_uint64,linear_regression,linear_spline,512,gabs,8232,9.39188e+06,9464151,469574,4732076,9464151
books_200M_uint64,linear_regression,linear_spline,512,gind,8240,4.71909e+06,4735383,221015,3308,4735383
books_200M_uint64,linear_regression,linear_spline,512,labs,12320,627455,2333,2.3276e+06,322,9464151
books_200M_uint64,linear_regression,linear_spline,512,lind,16416,306046,1786,1.14851e+06,245,4732320
books_200M_uint64,linear_regression,linear_regression,512,gabs,8232,4.90883e+06,4941743,252786,2470872,4941743
books_200M_uint64,linear_regression,linear_regression,512,gind,8240,4.12692e+06,4153188,204544,1682545,4153188
books_200M_uint64,linear_regression,linear_regression,512,labs,12320,318995,1765,1.19114e+06,365,4941743
books_200M_uint64,linear_regression,linear_regression,512,lind,16416,272017,1673,1.01045e+06,343,4153188
books_200M_uint64,radix,linear_spline,512,gabs,8224,24456.3,24457,77.7049,12229,24457
books_200M_uint64,radix,linear_spline,512,gind,8232,19399.5,19400,59.0973,7205,19400
books_200M_uint64,radix,linear_spline,512,labs,12312,5776.59,4599,4836.55,86,24457
books_200M_uint64,radix,linear_spline,512,lind,16408,3571.6,3434,2568.21,86,12760
books_200M_uint64,radix,linear_regression,512,gabs,8224,20450.5,20451,59.6321,10226,20451
books_200M_uint64,radix,linear_regression,512,gind,8232,16053.7,16054,45.8335,6076,16054
books_200M_uint64,radix,linear_regression,512,labs,12312,4150.96,3483,3440.36,153,20451
books_200M_uint64,radix,linear_regression,512,lind,16408,3587.97,3220,2748.16,153,14834
books_200M_uint64,linear_spline,linear_spline,1024,gabs,16424,7544.93,7545,13.9846,3773,7545
books_200M_uint64,linear_spline,linear_spline,1024,gind,16432,6885.94,6886,12.2967,3114,6886
books_200M_uint64,linear_spline,linear_spline,1024,labs,24608,1902.73,1691,1279.14,57,7545
books_200M_uint64,linear_spline,linear_spline,1024,lind,32800,1322.14,1304,789.358,38,3981
books_200M_uint64,linear_spline,linear_regression,1024,gabs,16424,4280.98,4281,5.88884,2273,4281
books_200M_uint64,linear_spline,linear_regression,1024,gind,16432,4253.98,4254,5.83199,2261,4254
books_200M_uint64,linear_spline,linear_regression,1024,labs,24608,1399.41,1337,862.915,39,4281
books_200M_uint64,linear_spline,linear_regression,1024,lind,32800,1270.71,1263,769.564,37,4042
books_200M_uint64,cubic_spline,linear_spline,1024,gabs,16440,228200,228237,1651.31,114119,228237
books_200M_uint64,cubic_spline,linear_spline,1024,gind,16448,162208,162218,653.477,48100,162218
books_200M_uint64,cubic_spline,linear_spline,1024,labs,24624,3227.5,1575,16775.6,161,228237
books_200M_uint64,cubic_spline,linear_spline,1024,lind,32816,2226.7,1209,11883,152,162218
books_200M_uint64,cubic_spline,linear_regression,1024,gabs,16440,118052,118067,795.069,59034,118067
books_200M_uint64,cubic_spline,linear_regression,1024,gind,16448,100081,100091,636.286,41058,100091
books_200M_uint64,cubic_spline,linear_regression,1024,labs,24624,2086.45,1231,8667.42,153,118067
books_200M_uint64,cubic_spline,linear_regression,1024,lind,32816,1844.96,1156,7340.01,148,100091
books_200M_uint64,linear_regression,linear_spline,1024,gabs,16424,9.3328e+06,9404217,465315,4702109,9404217
books_200M_uint64,linear_regression,linear_spline,1024,gind,16432,4.68869e+06,4704833,219276,2725,4704833
books_200M_uint64,linear_regression,linear_spline,1024,labs,24608,619174,1623,2.30686e+06,289,9404217
books_200M_uint64,linear_regression,linear_spline,1024,lind,32800,301831,1244,1.13826e+06,243,4702353
books_200M_uint64,linear_regression,linear_regression,1024,gabs,16424,4.88396e+06,4916565,250969,2458283,4916565
books_200M_uint64,linear_regression,linear_regression,1024,gind,16432,4.104e+06,4130002,202935,1671948,4130002
books_200M_uint64,linear_regression,linear_regression,1024,labs,24608,314984,1277,1.18201e+06,217,4916565
books_200M_uint64,linear_regression,linear_regression,1024,lind,32800,268465,1184,1.00227e+06,212,4130002
books_200M_uint64,radix,linear_spline,1024,gabs,16416,12954.8,12955,30.4902,6478,12955
books_200M_uint64,radix,linear_spline,1024,gind,16424,10418.9,10419,23.4101,3975,10419
books_200M_uint64,radix,linear_spline,1024,labs,24600,3169.64,2769,2357.13,86,12955
books_200M_uint64,radix,linear_spline,1024,lind,32792,2101.64,1997,1374.15,86,7068
books_200M_uint64,radix,linear_regression,1024,gabs,16416,8714.9,8715,17.3786,4358,8715
books_200M_uint64,radix,linear_regression,1024,gind,16424,7678.92,7679,14.9934,3322,7679
books_200M_uint64,radix,linear_regression,1024,labs,24600,2290.06,2079,1609.88,141,8715
books_200M_uint64,radix,linear_regression,1024,lind,32792,2051.12,1938,1394.42,131,7454
books_200M_uint64,linear_spline,linear_spline,2048,gabs,32808,4510.97,4511,6.72026,2256,4511
books_200M_uint64,linear_spline,linear_spline,2048,gind,32816,4278.97,4279,6.21765,2024,4279
books_200M_uint64,linear_spline,linear_spline,2048,labs,49184,1250.93,1181,783.779,27,4511
books_200M_uint64,linear_spline,linear_spline,2048,lind,65568,904.883,911,518.579,16,2506
books_200M_uint64,linear_spline,linear_regression,2048,gabs,32808,3168.99,3169,3.61802,1721,3169
books_200M_uint64,linear_spline,linear_regression,2048,gind,32816,3069.99,3070,3.45314,1706,3070
books_200M_uint64,linear_spline,linear_regression,2048,labs,49184,944.36,927,557.784,19,3169
