dataset,layer1,layer2,n_models,bounds,size_in_bytes,mean_interval,median_interval,stdev_interval,min_interval,max_interval
books_200M_uint64,linear_regression,linear_regression,8388608,lind,268435488,264233,12,993618,1,4104645
books_200M_uint64,radix,linear_spline,8388608,gabs,134217760,488.999,489,0.327172,245,489
books_200M_uint64,radix,linear_spline,8388608,gind,134217768,297,297,0.176229,86,297
books_200M_uint64,radix,linear_spline,8388608,labs,201326616,25.5232,25,9.9001,1,489
books_200M_uint64,radix,linear_spline,8388608,lind,268435480,17.8098,18,5.57659,1,246
books_200M_uint64,radix,linear_regression,8388608,gabs,134217760,265,265,0.0816905,164,265
books_200M_uint64,radix,linear_regression,8388608,gind,134217768,245,245,0.0622241,164,245
books_200M_uint64,radix,linear_regression,8388608,labs,201326616,19.6714,19,7.70443,1,265
books_200M_uint64,radix,linear_regression,8388608,lind,268435480,17.0901,17,5.88364,1,245
books_200M_uint64,linear_spline,linear_spline,16777216,gabs,268435496,489,489,0.319422,245,489
books_200M_uint64,linear_spline,linear_spline,16777216,gind,268435504,297,297,0.176149,86,297
books_200M_uint64,linear_spline,linear_spline,16777216,labs,402653216,14.414,13,7.13611,1,489
books_200M_uint64,linear_spline,linear_spline,16777216,lind,536870944,10.1817,10,4.89222,1,246
books_200M_uint64,linear_spline,linear_regression,16777216,gabs,268435496,247,247,0.0728005,155,247
books_200M_uint64,linear_spline,linear_regression,16777216,gind,268435504,245,245,0.0708521,155,245
books_200M_uint64,linear_spline,linear_regression,16777216,labs,402653216,11.1473,11,4.88613,1,247
books_200M_uint64,linear_spline,linear_regression,16777216,lind,536870944,9.20392,9,4.23103,1,245
books_200M_uint64,cubic_spline,linear_spline,16777216,gabs,268435512,838.999,839,0.695863,420,839
books_200M_uint64,cubic_spline,linear_spline,16777216,gind,268435520,665.999,666,0.577751,247,666
books_200M_uint64,cubic_spline,linear_spline,16777216,labs,402653232,12.4487,11,11.6811,1,839
books_200M_uint64,cubic_spline,linear_spline,16777216,lind,536870960,8.0245,7,7.41297,1,666
books_200M_uint64,cubic_spline,linear_regression,16777216,gabs,268435512,594.999,595,0.415051,298,595
books_200M_uint64,cubic_spline,linear_regression,16777216,gind,268435520,550.999,551,0.365783,298,551
books_200M_uint64,cubic_spline,linear_regression,16777216,labs,402653232,9.35164,9,8.53984,1,595
books_200M_uint64,cubic_spline,linear_regression,16777216,lind,536870960,7.63705,7,7.3756,1,521
books_200M_uint64,linear_regression,linear_spline,16777216,gabs,268435496,9.27009e+06,9340607,460803,4670304,9340607
books_200M_uint64,linear_regression,linear_spline,16777216,gind,268435504,4.65456e+06,4670548,217432,245,4670548
books_200M_uint64,linear_regression,linear_spline,16777216,labs,402653216,609828,13,2.28525e+06,1,9340607
books_200M_uint64,linear_regression,linear_spline,16777216,lind,536870944,296940,9,1.12762e+06,1,4670548
books_200M_uint64,linear_regression,linear_regression,16777216,gabs,268435496,4.85568e+06,4887935,248929,2443968,4887935
books_200M_uint64,linear_regression,linear_regression,16777216,gind,268435504,4.07893e+06,4104644,201176,1660799,4104644
books_200M_uint64,linear_regression,linear_regression,16777216,labs,402653216,310170,9,1.17211e+06,1,4887935
books_200M_uint64,linear_regression,linear_regression,16777216,lind,536870944,264230,8,993618,1,4104644
books_200M_uint64,radix,linear_spline,16777216,gabs,268435488,489,489,0.322317,245,489
books_200M_uint64,radix,linear_spline,16777216,gind,268435496,297,297,0.176167,86,297
books_200M_uint64,radix,linear_spline,16777216,labs,402653208,18.4878,19,7.26632,1,489
books_200M_uint64,radix,linear_spline,16777216,lind,536870936,13.2472,13,4.86983,1,246
books_200M_uint64,radix,linear_regression,16777216,gabs,268435488,253,253,0.0757406,158,253
books_200M_uint64,radix,linear_regression,16777216,gind,268435496,245,245,0.0679488,158,245
books_200M_uint64,radix,linear_regression,16777216,labs,402653208,14.2305,15,4.9086,1,253
books_200M_uint64,radix,linear_regression,16777216,lind,536870936,12.2598,13,4.3404,1,245
books_200M_uint64,linear_spline,linear_spline,33554432,gabs,536870952,489,489,0.31778,245,489
books_200M_uint64,linear_spline,linear_spline,33554432,gind,536870960,297,297,0.176139,86,297
books_200M_uint64,linear_spline,linear_spline,33554432,labs,805306400,10.2805,9,6.53053,1,489
books_200M_uint64,linear_spline,linear_spline,33554432,lind,1073741856,6.62404,6,3.67082,1,246
books_200M_uint64,linear_spline,linear_regression,33554432,gabs,536870952,245,245,0.0718251,154,245
books_200M_uint64,linear_spline,linear_regression,33554432,gind,536870960,245,245,0.0718251,154,245
books_200M_uint64,linear_spline,linear_regression,33554432,labs,805306400,7.70125,7,4.28676,1,245
books_200M_uint64,linear_spline,linear_regression,33554432,lind,1073741856,6.22587,6,3.72356,1,245
books_200M_uint64,cubic_spline,linear_spline,33554432,gabs,536870968,546.999,547,0.443883,274,547
books_200M_uint64,cubic_spline,linear_spline,33554432,gind,536870976,520.999,521,0.424771,248,521
books_200M_uint64,cubic_spline,linear_spline,33554432,labs,805306416,8.55002,7,8.56905,1,547
books_200M_uint64,cubic_spline,linear_spline,33554432,lind,1073741872,5.50859,4,5.29498,1,521
books_200M_uint64,cubic_spline,linear_regression,33554432,gabs,536870968,399,399,0.176595,266,399
books_200M_uint64,cubic_spline,linear_regression,33554432,gind,536870976,362,362,0.139735,266,362
books_200M_uint64,cubic_spline,linear_regression,33554432,labs,805306416,6.43515,5,6.09768,1,399
books_200M_uint64,cubic_spline,linear_regression,33554432,lind,1073741872,5.07324,4,5.24056,1,354
books_200M_uint64,linear_regression,linear_spline,33554432,gabs,536870952,9.27009e+06,9340601,460802,4670301,9340601
books_200M_uint64,linear_regression,linear_spline,33554432,gind,536870960,4.65456e+06,4670545,217432,245,4670545
books_200M_uint64,linear_regression,linear_spline,33554432,labs,805306400,609824,9,2.28525e+06,1,9340601
books_200M_uint64,linear_regression,linear_spline,33554432,lind,1073741856,296937,6,1.12762e+06,1,4670545
books_200M_uint64,linear_regression,linear_regression,33554432,gabs,536870952,4.85568e+06,4887931,248929,2443966,4887931
books_200M_uint64,linear_regression,linear_regression,33554432,gind,536870960,4.07893e+06,4104641,201176,1660798,4104641
books_200M_uint64,linear_regression,linear_regression,33554432,labs,805306400,310166,7,1.17211e+06,1,4887931
books_200M_uint64,linear_regression,linear_regression,33554432,lind,1073741856,264227,5,993618,1,4104641
books_200M_uint64,radix,linear_spline,33554432,gabs,536870944,489,489,0.319422,245,489
books_200M_uint64,radix,linear_spline,33554432,gind,536870952,297,297,0.176149,86,297
books_200M_uint64,radix,linear_spline,33554432,labs,805306392,14.414,13,7.13611,1,489
books_200M_uint64,radix,linear_spline,33554432,lind,1073741848,10.1817,10,4.89222,1,246
books_200M_uint64,radix,linear_regression,33554432,gabs,536870944,247,247,0.0728005,155,247
books_200M_uint64,radix,linear_regression,33554432,gind,536870952,245,245,0.0708521,155,245
books_200M_uint64,radix,linear_regression,33554432,labs,805306392,11.1473,11,4.88613,1,247
books_200M_uint64,radix,linear_regression,33554432,lind,1073741848,9.20392,9,4.23103,1,245
fb_200M_uint64,linear_spline,linear_spline,64,gabs,1064,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,linear_spline,linear_spline,64,gind,1072,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,linear_spline,linear_spline,64,labs,1568,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,linear_spline,linear_spline,64,lind,2080,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,linear_spline,linear_regression,64,gabs,1064,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,linear_spline,linear_regression,64,gind,1072,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,linear_spline,linear_regression,64,labs,1568,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,linear_spline,linear_regression,64,lind,2080,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,cubic_spline,linear_spline,64,gabs,1080,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,cubic_spline,linear_spline,64,gind,1088,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,cubic_spline,linear_spline,64,labs,1584,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,cubic_spline,linear_spline,64,lind,2096,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,cubic_spline,linear_regression,64,gabs,1080,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,cubic_spline,linear_regression,64,gind,1088,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,cubic_spline,linear_regression,64,labs,1584,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,cubic_spline,linear_regression,64,lind,2096,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_regression,linear_spline,64,gabs,1064,749195,749945,13756.7,374973,749945
fb_200M_uint64,linear_regression,linear_spline,64,gind,1072,703128,703795,12615.9,328823,703795
fb_200M_uint64,linear_regression,linear_spline,64,labs,1568,749195,749945,13758.3,1,749945
fb_200M_uint64,linear_regression,linear_spline,64,lind,2080,703128,703795,12617.5,1,703795
fb_200M_uint64,linear_regression,linear_regression,64,gabs,1064,649531,649769,6836.47,324885,649769
fb_200M_uint64,linear_regression,linear_regression,64,gind,1072,544780,544880,3518.9,219996,544880
fb_200M_uint64,linear_regression,linear_regression,64,labs,1568,649531,649769,6838.9,1,649769
fb_200M_uint64,linear_regression,linear_regression,64,lind,2080,544780,544880,3521.75,1,544880
fb_200M_uint64,radix,linear_spline,64,gabs,1056,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,radix,linear_spline,64,gind,1064,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,radix,linear_spline,64,labs,1560,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,radix,linear_spline,64,lind,2072,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,radix,linear_regression,64,gabs,1056,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,radix,linear_regression,64,gind,1064,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,radix,linear_regression,64,labs,1560,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,radix,linear_regression,64,lind,2072,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_spline,linear_spline,128,gabs,2088,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,linear_spline,linear_spline,128,gind,2096,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,linear_spline,linear_spline,128,labs,3104,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,linear_spline,linear_spline,128,lind,4128,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,linear_spline,linear_regression,128,gabs,2088,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,linear_spline,linear_regression,128,gind,2096,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,linear_spline,linear_regression,128,labs,3104,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,linear_spline,linear_regression,128,lind,4128,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,cubic_spline,linear_spline,128,gabs,2104,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,cubic_spline,linear_spline,128,gind,2112,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,cubic_spline,linear_spline,128,labs,3120,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,cubic_spline,linear_spline,128,lind,4144,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,cubic_spline,linear_regression,128,gabs,2104,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,cubic_spline,linear_regression,128,gind,2112,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,cubic_spline,linear_regression,128,labs,3120,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,cubic_spline,linear_regression,128,lind,4144,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_regression,linear_spline,128,gabs,2088,749195,749945,13756.7,374973,749945
fb_200M_uint64,linear_regression,linear_spline,128,gind,2096,703128,703795,12615.9,328823,703795
fb_200M_uint64,linear_regression,linear_spline,128,labs,3104,749195,749945,13758.3,1,749945
fb_200M_uint64,linear_regression,linear_spline,128,lind,4128,703128,703795,12617.5,1,703795
fb_200M_uint64,linear_regression,linear_regression,128,gabs,2088,649531,649769,6836.47,324885,649769
fb_200M_uint64,linear_regression,linear_regression,128,gind,2096,544780,544880,3518.9,219996,544880
fb_200M_uint64,linear_regression,linear_regression,128,labs,3104,649531,649769,6838.9,1,649769
fb_200M_uint64,linear_regression,linear_regression,128,lind,4128,544780,544880,3521.75,1,544880
fb_200M_uint64,radix,linear_spline,128,gabs,2080,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,radix,linear_spline,128,gind,2088,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,radix,linear_spline,128,labs,3096,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,radix,linear_spline,128,lind,4120,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,radix,linear_regression,128,gabs,2080,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,radix,linear_regression,128,gind,2088,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,radix,linear_regression,128,labs,3096,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,radix,linear_regression,128,lind,4120,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_spline,linear_spline,256,gabs,4136,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,linear_spline,linear_spline,256,gind,4144,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,linear_spline,linear_spline,256,labs,6176,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,linear_spline,linear_spline,256,lind,8224,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,linear_spline,linear_regression,256,gabs,4136,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,linear_spline,linear_regression,256,gind,4144,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,linear_spline,linear_regression,256,labs,6176,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,linear_spline,linear_regression,256,lind,8224,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,cubic_spline,linear_spline,256,gabs,4152,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,cubic_spline,linear_spline,256,gind,4160,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,cubic_spline,linear_spline,256,labs,6192,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,cubic_spline,linear_spline,256,lind,8240,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,cubic_spline,linear_regression,256,gabs,4152,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,cubic_spline,linear_regression,256,gind,4160,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,cubic_spline,linear_regression,256,labs,6192,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,cubic_spline,linear_regression,256,lind,8240,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_regression,linear_spline,256,gabs,4136,749195,749945,13756.7,374973,749945
fb_200M_uint64,linear_regression,linear_spline,256,gind,4144,703128,703795,12615.9,328823,703795
fb_200M_uint64,linear_regression,linear_spline,256,labs,6176,749195,749945,13758.3,1,749945
fb_200M_uint64,linear_regression,linear_spline,256,lind,8224,703128,703795,12617.5,1,703795
fb_200M_uint64,linear_regression,linear_regression,256,gabs,4136,649531,649769,6836.47,324885,649769
fb_200M_uint64,linear_regression,linear_regression,256,gind,4144,544780,544880,3518.9,219996,544880
fb_200M_uint64,linear_regression,linear_regression,256,labs,6176,649531,649769,6838.9,1,649769
fb_200M_uint64,linear_regression,linear_regression,256,lind,8224,544780,544880,3521.75,1,544880
fb_200M_uint64,radix,linear_spline,256,gabs,4128,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,radix,linear_spline,256,gind,4136,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,radix,linear_spline,256,labs,6168,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,radix,linear_spline,256,lind,8216,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,radix,linear_regression,256,gabs,4128,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,radix,linear_regression,256,gind,4136,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,radix,linear_regression,256,labs,6168,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,radix,linear_regression,256,lind,8216,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_spline,linear_spline,512,gabs,8232,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,linear_spline,linear_spline,512,gind,8240,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,linear_spline,linear_spline,512,labs,12320,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,linear_spline,linear_spline,512,lind,16416,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,linear_spline,linear_regression,512,gabs,8232,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,linear_spline,linear_regression,512,gind,8240,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,linear_spline,linear_regression,512,labs,12320,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,linear_spline,linear_regression,512,lind,16416,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,cubic_spline,linear_spline,512,gabs,8248,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,cubic_spline,linear_spline,512,gind,8256,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,cubic_spline,linear_spline,512,labs,12336,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,cubic_spline,linear_spline,512,lind,16432,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,cubic_spline,linear_regression,512,gabs,8248,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,cubic_spline,linear_regression,512,gind,8256,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,cubic_spline,linear_regression,512,labs,12336,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,cubic_spline,linear_regression,512,lind,16432,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_regression,linear_spline,512,gabs,8232,749195,749945,13756.7,374973,749945
fb_200M_uint64,linear_regression,linear_spline,512,gind,8240,703128,703795,12615.9,328823,703795
fb_200M_uint64,linear_regression,linear_spline,512,labs,12320,749195,749945,13758.3,1,749945
fb_200M_uint64,linear_regression,linear_spline,512,lind,16416,703128,703795,12617.5,1,703795
fb_200M_uint64,linear_regression,linear_regression,512,gabs,8232,649531,649769,6836.47,324885,649769
fb_200M_uint64,linear_regression,linear_regression,512,gind,8240,544780,544880,3518.9,219996,544880
fb_200M_uint64,linear_regression,linear_regression,512,labs,12320,649531,649769,6838.9,1,649769
fb_200M_uint64,linear_regression,linear_regression,512,lind,16416,544780,544880,3521.75,1,544880
fb_200M_uint64,radix,linear_spline,512,gabs,8224,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,radix,linear_spline,512,gind,8232,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,radix,linear_spline,512,labs,12312,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,radix,linear_spline,512,lind,16408,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,radix,linear_regression,512,gabs,8224,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,radix,linear_regression,512,gind,8232,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,radix,linear_regression,512,labs,12312,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,radix,linear_regression,512,lind,16408,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_spline,linear_spline,1024,gabs,16424,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,linear_spline,linear_spline,1024,gind,16432,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,linear_spline,linear_spline,1024,labs,24608,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,linear_spline,linear_spline,1024,lind,32800,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,linear_spline,linear_regression,1024,gabs,16424,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,linear_spline,linear_regression,1024,gind,16432,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,linear_spline,linear_regression,1024,labs,24608,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,linear_spline,linear_regression,1024,lind,32800,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,cubic_spline,linear_spline,1024,gabs,16440,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,cubic_spline,linear_spline,1024,gind,16448,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,cubic_spline,linear_spline,1024,labs,24624,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,cubic_spline,linear_spline,1024,lind,32816,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,cubic_spline,linear_regression,1024,gabs,16440,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,cubic_spline,linear_regression,1024,gind,16448,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,cubic_spline,linear_regression,1024,labs,24624,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,cubic_spline,linear_regression,1024,lind,32816,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_regression,linear_spline,1024,gabs,16424,749195,749945,13756.7,374973,749945
fb_200M_uint64,linear_regression,linear_spline,1024,gind,16432,703128,703795,12615.9,328823,703795
fb_200M_uint64,linear_regression,linear_spline,1024,labs,24608,749195,749945,13758.3,1,749945
fb_200M_uint64,linear_regression,linear_spline,1024,lind,32800,703128,703795,12617.5,1,703795
fb_200M_uint64,linear_regression,linear_regression,1024,gabs,16424,649531,649769,6836.47,324885,649769
fb_200M_uint64,linear_regression,linear_regression,1024,gind,16432,544780,544880,3518.9,219996,544880
fb_200M_uint64,linear_regression,linear_regression,1024,labs,24608,649531,649769,6838.9,1,649769
fb_200M_uint64,linear_regression,linear_regression,1024,lind,32800,544780,544880,3521.75,1,544880
fb_200M_uint64,radix,linear_spline,1024,gabs,16416,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,radix,linear_spline,1024,gind,16424,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,radix,linear_spline,1024,labs,24600,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,radix,linear_spline,1024,lind,32792,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,radix,linear_regression,1024,gabs,16416,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,radix,linear_regression,1024,gind,16424,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,radix,linear_regression,1024,labs,24600,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,radix,linear_regression,1024,lind,32792,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_spline,linear_spline,2048,gabs,32808,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,linear_spline,linear_spline,2048,gind,32816,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,linear_spline,linear_spline,2048,labs,49184,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,linear_spline,linear_spline,2048,lind,65568,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,linear_spline,linear_regression,2048,gabs,32808,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,linear_spline,linear_regression,2048,gind,32816,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,linear_spline,linear_regression,2048,labs,49184,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,linear_spline,linear_regression,2048,lind,65568,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,cubic_spline,linear_spline,2048,gabs,32824,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,cubic_spline,linear_spline,2048,gind,32832,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,cubic_spline,linear_spline,2048,labs,49200,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,cubic_spline,linear_spline,2048,lind,65584,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,cubic_spline,linear_regression,2048,gabs,32824,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,cubic_spline,linear_regression,2048,gind,32832,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,cubic_spline,linear_regression,2048,labs,49200,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,cubic_spline,linear_regression,2048,lind,65584,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_regression,linear_spline,2048,gabs,32808,749195,749945,13756.7,374973,749945
fb_200M_uint64,linear_regression,linear_spline,2048,gind,32816,703128,703795,12615.9,328823,703795
fb_200M_uint64,linear_regression,linear_spline,2048,labs,49184,749195,749945,13758.3,1,749945
fb_200M_uint64,linear_regression,linear_spline,2048,lind,65568,703128,703795,12617.5,1,703795
fb_200M_uint64,linear_regression,linear_regression,2048,gabs,32808,649531,649769,6836.47,324885,649769
fb_200M_uint64,linear_regression,linear_regression,2048,gind,32816,544780,544880,3518.9,219996,544880
fb_200M_uint64,linear_regression,linear_regression,2048,labs,49184,649531,649769,6838.9,1,649769
fb_200M_uint64,linear_regression,linear_regression,2048,lind,65568,544780,544880,3521.75,1,544880
fb_200M_uint64,radix,linear_spline,2048,gabs,32800,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,radix,linear_spline,2048,gind,32808,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,radix,linear_spline,2048,labs,49176,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,radix,linear_spline,2048,lind,65560,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,radix,linear_regression,2048,gabs,32800,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,radix,linear_regression,2048,gind,32808,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,radix,linear_regression,2048,labs,49176,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,radix,linear_regression,2048,lind,65560,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,linear_spline,linear_spline,4096,gabs,65576,1.99993e+08,199993130,4069.92,199986247,200000000
fb_200M_uint64,linear_spline,linear_spline,4096,gind,65584,1.99986e+08,199986248,50699.2,2,199986248
fb_200M_uint64,linear_spline,linear_spline,4096,labs,98336,1.99993e+08,199993130,42619.7,1,200000000
fb_200M_uint64,linear_spline,linear_spline,4096,lind,131104,1.99986e+08,199986248,50699.2,1,199986248
fb_200M_uint64,linear_spline,linear_regression,4096,gabs,65576,1.96407e+08,196406915,27598.2,98203458,196406915
fb_200M_uint64,linear_spline,linear_regression,4096,gind,65584,1.96398e+08,196398500,34830.2,98195043,196398500
fb_200M_uint64,linear_spline,linear_regression,4096,labs,98336,1.96407e+08,196406915,45426.7,1,196406915
fb_200M_uint64,linear_spline,linear_regression,4096,lind,131104,1.96398e+08,196398500,50149,1,196398500
fb_200M_uint64,cubic_spline,linear_spline,4096,gabs,65592,1.99993e+08,199993130,4069.92,199986247,200000000
