dataset,n_keys,layer1,layer2,n_models,bounds,search,size_in_bytes,rep,n_samples,lookup_time,lookup_accu
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gabs,binary,4152,1,20000000,11768790327,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gabs,binary,4152,2,20000000,11779943273,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gind,model_biased_binary,4160,0,20000000,10781835765,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gind,model_biased_binary,4160,1,20000000,10772089233,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gind,model_biased_binary,4160,2,20000000,10781518870,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gind,binary,4160,0,20000000,11746877600,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gind,binary,4160,1,20000000,11721381018,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,gind,binary,4160,2,20000000,11756397587,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,labs,binary,6192,0,20000000,9304599782,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,labs,binary,6192,1,20000000,9306316426,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,labs,binary,6192,2,20000000,9294690223,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,lind,model_biased_binary,8240,0,20000000,8880305435,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,lind,model_biased_binary,8240,1,20000000,8878971176,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,lind,model_biased_binary,8240,2,20000000,8880114396,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,lind,binary,8240,0,20000000,8795993304,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,lind,binary,8240,1,20000000,8796704158,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,256,lind,binary,8240,2,20000000,8785313241,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,none,model_biased_linear,8240,0,20000000,26050268901,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,none,model_biased_linear,8240,1,20000000,26051892418,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,none,model_biased_linear,8240,2,20000000,26052297804,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,none,model_biased_exponential,8240,0,20000000,9729912565,2000207222435828
books_200M_uint64,200000000,cubic_spline,linear_spline,512,none,model_biased_exponential,8240,1,20000000,9729353197,2000207222435828
