dataset,n_keys,rmi,layer1,layer2,n_models,bounds,size_in_bytes,rep,build_time,checksum
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,none,1056,0,3563836346,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,none,1056,1,3588995718,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,none,1056,2,3576411139,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,gabs,1064,0,6363885585,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,gabs,1064,1,6376778491,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,gabs,1064,2,6376654619,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,gind,1072,0,6228845090,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,gind,1072,1,6228879616,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,gind,1072,2,6241062760,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,labs,1568,0,6386439513,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,labs,1568,1,6399236287,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,labs,1568,2,6399174555,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,lind,2080,0,6479984486,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,lind,2080,1,6492932903,0
books_200M_uint64,200000000,ours,linear_regression,linear_spline,64,lind,2080,2,6505643757,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,none,1056,0,5710464529,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,none,1056,1,5723644544,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,none,1056,2,5710582438,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,gabs,1064,0,8505465248,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,gabs,1064,1,8529041062,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,gabs,1064,2,8517693579,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,gind,1072,0,8378897237,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,gind,1072,1,8391666635,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,gind,1072,2,8391778190,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,labs,1568,0,8478693223,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,labs,1568,1,8503795062,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,labs,1568,2,8490674949,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,lind,2080,0,8595214645,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,lind,2080,1,8596093957,0
books_200M_uint64,200000000,ours,linear_regression,linear_regression,64,lind,2080,2,8595910843,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,none,1048,0,1087758931,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,none,1048,1,1087353570,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,none,1048,2,1087767868,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,gabs,1056,0,3639737115,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,gabs,1056,1,3639964621,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,gabs,1056,2,3639555471,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,gind,1064,0,3461237012,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,gind,1064,1,3473457074,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,gind,1064,2,3474231107,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,labs,1560,0,3662955050,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,labs,1560,1,3662576377,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,labs,1560,2,3663316135,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,lind,2072,0,3775915264,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,lind,2072,1,3774974249,0
books_200M_uint64,200000000,ours,radix,linear_spline,64,lind,2072,2,3787690819,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,none,1048,0,3187246987,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,none,1048,1,3186909759,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,none,1048,2,3199593395,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,gabs,1056,0,5794194390,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,gabs,1056,1,5806661395,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,gabs,1056,2,5794368131,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,gind,1064,0,5595309269,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,gind,1064,1,5596314012,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,gind,1064,2,5608261526,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,labs,1560,0,5742290386,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,labs,1560,1,5755655405,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,labs,1560,2,5742890359,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,lind,2072,0,5844113258,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,lind,2072,1,5855385404,0
books_200M_uint64,200000000,ours,radix,linear_regression,64,lind,2072,2,5855991861,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,none,2096,0,1813314406,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,none,2096,1,1813162806,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,none,2096,2,1825931908,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,gabs,2104,0,5194929775,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,gabs,2104,1,5195125594,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,gabs,2104,2,5207829521,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,gind,2112,0,5048125643,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,gind,2112,1,5048103522,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,gind,2112,2,5048147447,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,labs,3120,0,5074556387,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,labs,3120,1,5100101092,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,labs,3120,2,5087329423,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,lind,4144,0,5134072996,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,lind,4144,1,5134116704,0
books_200M_uint64,200000000,ours,cubic_spline,linear_spline,128,lind,4144,2,5147029009,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,none,2096,0,3960160172,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,none,2096,1,3973107573,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,none,2096,2,3972974794,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,gabs,2104,0,7349625065,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,gabs,2104,1,7362124449,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,gabs,2104,2,7362187888,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,gind,2112,0,7212653401,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,gind,2112,1,7212796172,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,gind,2112,2,7225437088,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,labs,3120,0,7218913069,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,labs,3120,1,7218941594,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,labs,3120,2,7231924973,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,lind,4144,0,7271744492,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,lind,4144,1,7284574579,0
books_200M_uint64,200000000,ours,cubic_spline,linear_regression,128,lind,4144,2,7284838795,0
books_200M_uint64,200000000,ours,linear_spline,linear_spline,128,none,2080,0,1475394689,0
